                                              Software Resources List                                                   Page     1
5770SS1 V7R5M0  220415                                                                            PUB400    10/06/23  18:06:59 UTC
                                                      Software Resources List
 Resource                         Feature
    ID       Option    Feature     Type      Library       Release       Description
 5770SS1     5          2976       *LNG      QSYS2976      V7R5M0        System/36 Environment
 5770SS1     5          2978       *LNG      QSYS2978      V7R5M0        System/36 Environment
 5770SS1     5          2979       *LNG      QSYS2979      V7R5M0        System/36 Environment
 5770SS1     5          2980       *LNG      QSYS2980      V7R5M0        System/36 Environment
 5770SS1     5          2981       *LNG      QSYS2981      V7R5M0        System/36 Environment
 5770SS1     5          2984       *LNG      QSYS2984      V7R5M0        System/36 Environment
 5770SS1     5          2986       *LNG      QSYS2986      V7R5M0        System/36 Environment
 5770SS1     5          2987       *LNG      QSYS2987      V7R5M0        System/36 Environment
 5770SS1     5          2989       *LNG      QSYS2989      V7R5M0        System/36 Environment
 5770SS1     5          2992       *LNG      QSYS2992      V7R5M0        System/36 Environment
 5770SS1     5          2994       *LNG      QSYS2994      V7R5M0        System/36 Environment
 5770SS1     5          2995       *LNG      QSYS2995      V7R5M0        System/36 Environment
 5770SS1     5          2996       *LNG      QSYS2996      V7R5M0        System/36 Environment
 5770SS1     5          2998       *LNG      QSYS2998      V7R5M0        System/36 Environment
 5770SS1     6          5050       *CODE     QSYS38        V7R5M0        System/38 Environment
 5770SS1     7          5050       *CODE     QUSRTOOL      V7R5M0        Example Tools Library
 5770SS1     7          2924       *LNG      QUSRTOOL      V7R5M0        Example Tools Library
 5770SS1     8          5050       *CODE     QFNTCPL       V7R5M0        AFP Compatibility Fonts
 5770SS1     9          5050       *CODE     QSYSV7R4M0    V7R5M0        *PRV CL Compiler Support
 5770SS1     12         2911       *LNG      QSYS2911      V7R4M0        Host Servers
 5770SS1     12         5050       *CODE     QIWS          V7R5M0        Host Servers
 5770SS1     12         2902       *LNG      QSYS2902      V7R5M0        Host Servers
 5770SS1     12         2903       *LNG      QSYS2903      V7R5M0        Host Servers
 5770SS1     12         2904       *LNG      QSYS2904      V7R5M0        Host Servers
 5770SS1     12         2905       *LNG      QSYS2905      V7R5M0        Host Servers
 5770SS1     12         2909       *LNG      QSYS2909      V7R5M0        Host Servers
 5770SS1     12         2912       *LNG      QSYS2912      V7R5M0        Host Servers
 5770SS1     12         2913       *LNG      QSYS2913      V7R5M0        Host Servers
 5770SS1     12         2914       *LNG      QSYS2914      V7R5M0        Host Servers
 5770SS1     12         2922       *LNG      QSYS2922      V7R5M0        Host Servers
 5770SS1     12         2923       *LNG      QSYS2923      V7R5M0        Host Servers
 5770SS1     12         2924       *LNG      QIWS          V7R5M0        Host Servers
 5770SS1     12         2925       *LNG      QSYS2925      V7R5M0        Host Servers
 5770SS1     12         2926       *LNG      QSYS2926      V7R5M0        Host Servers
 5770SS1     12         2928       *LNG      QSYS2928      V7R5M0        Host Servers
 5770SS1     12         2929       *LNG      QSYS2929      V7R5M0        Host Servers
 5770SS1     12         2930       *LNG      QSYS2930      V7R5M0        Host Servers
 5770SS1     12         2931       *LNG      QSYS2931      V7R5M0        Host Servers
 5770SS1     12         2932       *LNG      QSYS2932      V7R5M0        Host Servers
 5770SS1     12         2933       *LNG      QSYS2933      V7R5M0        Host Servers
 5770SS1     12         2937       *LNG      QSYS2937      V7R5M0        Host Servers
 5770SS1     12         2938       *LNG      QSYS2938      V7R5M0        Host Servers
 5770SS1     12         2939       *LNG      QSYS2939      V7R5M0        Host Servers
 5770SS1     12         2940       *LNG      QSYS2940      V7R5M0        Host Servers
